"bat_id","team_id","bat_result","bat_date"
"1","4","3","2023-03-15 11:55:35"
"2","4","4","2023-03-15 11:55:57"
"3","4","4","2023-03-15 11:56:14"
"4","4","4","2023-03-15 11:56:27"
"5","4","1","2023-03-15 11:56:41"
"6","4","4","2023-03-15 11:56:55"
"7","4","4","2023-03-15 11:57:10"
"8","4","4","2023-03-15 11:57:26"
"9","4","0","2023-03-15 11:57:39"
"10","4","3","2023-03-15 11:57:54"
"11","4","2","2023-03-15 11:58:07"
"12","4","2","2023-03-15 11:58:21"
"13","4","1","2023-03-15 11:58:53"
"14","4","3","2023-03-15 11:59:09"
"15","4","4","2023-03-15 11:59:25"
"16","4","1","2023-03-15 11:59:43"
"17","4","0","2023-03-15 11:59:56"
"18","4","1","2023-03-15 12:00:21"
"19","4","3","2023-03-15 12:00:36"
"20","29","2","2023-03-15 12:02:34"
"21","29","2","2023-03-15 12:02:59"
"22","29","3","2023-03-15 12:03:11"
"23","10","0","2023-03-15 13:42:52"
"24","10","4","2023-03-15 13:42:59"
"25","26","2","2023-03-15 14:04:12"
"26","26","1","2023-03-15 14:04:19"
"27","26","0","2023-03-15 14:04:28"
"28","26","1","2023-03-15 14:04:39"
"29","1","0","2023-03-15 14:04:50"
"30","26","3","2023-03-15 14:04:59"
"31","26","2","2023-03-15 14:05:08"
"32","23","3","2023-03-15 14:05:14"
"33","26","3","2023-03-15 14:05:16"
"34","23","4","2023-03-15 14:05:29"
"35","23","3","2023-03-15 14:05:49"
"36","26","1","2023-03-15 14:05:55"
"37","26","0","2023-03-15 14:06:02"
"38","23","3","2023-03-15 14:06:06"
"39","26","2","2023-03-15 14:06:09"
"40","26","4","2023-03-15 14:06:17"
"41","23","0","2023-03-15 14:06:20"
"42","26","2","2023-03-15 14:06:25"
"43","23","3","2023-03-15 14:06:31"
"44","26","0","2023-03-15 14:06:37"
"45","23","1","2023-03-15 14:06:46"
"46","25","4","2023-03-15 14:07:07"
"47","23","0","2023-03-15 14:07:26"
"48","23","3","2023-03-15 14:07:38"
"49","18","2","2023-03-15 14:58:15"
"50","13","4","2023-03-15 17:10:47"
"51","13","2","2023-03-15 17:10:57"
"52","8","3","2023-03-15 21:25:13"
"53","24","3","2023-03-15 23:52:22"
"54","24","0","2023-03-15 23:52:55"
"55","24","1","2023-03-15 23:53:28"
"56","24","0","2023-03-15 23:53:45"
"57","24","1","2023-03-15 23:53:56"
"58","13","2","2023-03-16 09:06:23"
"59","11","2","2023-03-16 09:57:30"
"60","28","2","2023-03-16 13:41:53"
"61","28","0","2023-03-16 13:41:58"
"62","28","1","2023-03-16 13:42:03"
"63","28","1","2023-03-16 13:42:09"
"64","7","2","2023-03-16 13:42:09"
"65","28","2","2023-03-16 13:42:13"
"66","28","3","2023-03-16 13:42:21"
"67","9","1","2023-03-16 15:02:12"
"68","10","3","2023-03-16 15:04:11"
"69","10","1","2023-03-16 15:04:17"
"70","24","2","2023-03-16 17:23:58"
"71","21","3","2023-03-16 18:35:05"
"72","21","2","2023-03-16 18:35:14"
"73","21","3","2023-03-16 18:35:22"
"74","4","1","2023-03-16 22:12:40"
"75","4","4","2023-03-16 22:13:06"
"76","8","4","2023-03-17 07:33:16"
"77","9","3","2023-03-17 08:06:08"
"78","13","2","2023-03-17 08:55:00"
"79","8","2","2023-03-17 11:17:47"
"80","19","2","2023-03-17 12:21:33"
"81","7","3","2023-03-17 12:21:36"
"82","7","2","2023-03-17 12:21:46"
"83","7","2","2023-03-17 12:21:53"
"84","19","0","2023-03-17 12:22:07"
"85","26","3","2023-03-17 12:38:49"
"86","26","1","2023-03-17 12:38:57"
"87","26","0","2023-03-17 12:39:05"
"88","26","0","2023-03-17 12:39:12"
"89","10","1","2023-03-18 09:14:11"
"90","10","0","2023-03-18 09:14:21"
"91","10","3","2023-03-18 09:14:32"
"92","10","1","2023-03-18 09:14:43"
"93","24","2","2023-03-18 15:41:50"
"94","8","2","2023-03-18 16:34:52"
"95","8","4","2023-03-18 16:34:59"
"96","8","0","2023-03-18 16:35:09"
"97","8","3","2023-03-18 16:35:17"
"98","18","1","2023-03-18 19:18:02"
"99","7","2","2023-03-18 19:52:47"
"100","7","3","2023-03-18 19:52:54"
"101","10","1","2023-03-19 07:05:12"
"102","10","1","2023-03-19 07:05:22"
"103","24","0","2023-03-19 09:57:06"
"104","24","3","2023-03-19 09:57:34"
"105","10","2","2023-03-19 17:20:32"
"106","7","1","2023-03-19 20:00:02"
"107","7","0","2023-03-19 20:00:10"
"108","27","3","2023-03-19 20:44:20"
"109","21","4","2023-03-19 20:59:47"
"110","21","1","2023-03-19 20:59:56"
"111","21","0","2023-03-19 21:00:29"
"112","8","1","2023-03-19 23:05:22"
"113","8","1","2023-03-19 23:05:31"
"114","8","3","2023-03-19 23:05:38"
"115","10","3","2023-03-20 08:05:40"
"116","26","2","2023-03-20 08:42:42"
"117","26","1","2023-03-20 08:42:50"
"118","26","0","2023-03-20 08:42:57"
"119","9","2","2023-03-20 08:55:12"
"120","9","1","2023-03-20 08:55:20"
"121","19","3","2023-03-20 08:56:52"
"122","19","2","2023-03-20 08:57:06"
"123","13","1","2023-03-20 08:57:07"
"124","19","0","2023-03-20 08:57:16"
"125","13","2","2023-03-20 08:57:21"
"126","19","0","2023-03-20 08:57:33"
"127","7","2","2023-03-20 09:02:09"
"128","2","3","2023-03-20 09:02:33"
"129","2","2","2023-03-20 09:02:53"
"130","15","4","2023-03-20 09:03:34"
"131","15","1","2023-03-20 09:03:42"
"132","28","0","2023-03-20 09:03:47"
"133","15","4","2023-03-20 09:03:51"
"134","28","0","2023-03-20 09:03:51"
"135","28","3","2023-03-20 09:03:56"
"136","28","4","2023-03-20 09:04:00"
"137","28","3","2023-03-20 09:04:05"
"138","2","3","2023-03-20 09:04:07"
"139","28","4","2023-03-20 09:04:10"
"140","28","0","2023-03-20 09:04:14"
"141","2","3","2023-03-20 09:04:17"
"142","28","2","2023-03-20 09:04:18"
"143","2","2","2023-03-20 09:04:49"
"144","28","1","2023-03-20 09:04:56"
"145","28","0","2023-03-20 09:05:04"
"146","28","0","2023-03-20 09:05:10"
"147","28","4","2023-03-20 09:05:15"
"148","28","3","2023-03-20 09:05:23"
"149","28","1","2023-03-20 09:05:28"
"150","28","4","2023-03-20 09:05:36"
"151","28","3","2023-03-20 09:05:42"
"152","11","4","2023-03-20 09:07:58"
"153","11","0","2023-03-20 09:08:18"
"154","11","2","2023-03-20 09:08:29"
"155","11","1","2023-03-20 09:08:40"
"156","11","4","2023-03-20 09:08:51"
"157","11","4","2023-03-20 09:09:06"
"158","11","3","2023-03-20 09:09:13"
"159","11","1","2023-03-20 09:09:21"
"160","11","1","2023-03-20 09:09:33"
"161","21","0","2023-03-20 09:09:55"
"162","22","3","2023-03-20 10:12:51"
"163","22","0","2023-03-20 10:13:00"
"164","22","4","2023-03-20 10:13:07"
"165","22","3","2023-03-20 10:13:21"
"166","22","2","2023-03-20 10:13:33"
"167","20","1","2023-03-20 11:31:18"
"168","20","4","2023-03-20 11:31:28"
"169","20","3","2023-03-20 11:31:36"
"170","20","2","2023-03-20 11:31:43"
"171","20","0","2023-03-20 11:31:53"
"172","16","0","2023-03-20 12:46:05"
"173","16","2","2023-03-20 12:46:12"
"174","16","1","2023-03-20 12:46:25"
"175","16","0","2023-03-20 12:46:35"
"176","16","1","2023-03-20 12:46:43"
"177","16","4","2023-03-20 12:46:53"
"178","16","2","2023-03-20 12:47:04"
"179","16","1","2023-03-20 12:47:15"
"180","4","1","2023-03-20 14:23:23"
"181","4","3","2023-03-20 14:23:46"
"182","4","1","2023-03-20 14:24:10"
"183","4","3","2023-03-20 14:24:24"
"184","4","2","2023-03-20 14:24:45"
"185","4","0","2023-03-20 14:25:00"
"186","15","3","2023-03-20 14:26:31"
"187","10","4","2023-03-20 16:13:05"
"188","13","2","2023-03-20 17:27:38"
"189","24","0","2023-03-20 19:15:13"
"190","23","2","2023-03-21 08:30:13"
"191","23","0","2023-03-21 08:30:26"
"192","23","4","2023-03-21 08:30:43"
"193","10","3","2023-03-21 10:18:56"
"194","6","3","2023-03-21 10:19:45"
"195","7","3","2023-03-21 10:22:28"
"196","27","3","2023-03-21 10:22:50"
"197","9","0","2023-03-21 11:03:15"
"198","13","2","2023-03-21 12:56:30"
"199","21","0","2023-03-21 12:56:58"
"200","19","2","2023-03-21 14:04:24"
"201","19","3","2023-03-21 14:04:30"
"202","19","3","2023-03-21 14:04:37"
"203","19","0","2023-03-21 14:04:46"
"204","11","3","2023-03-21 14:22:59"
"205","11","1","2023-03-21 14:23:06"
