,name,runs1,runs2,runs3,runs4,total_runs
0,Andy Zhen Forests,0,3,3,0,6
1,Bennionville Bobcats,0,0,0,0,0
2,Bentown Tippers,17,17,21,43,98
3,Billings Enforcers,0,0,0,0,0
4,Billville Jovyans,16,16,26,35,93
5,Bjornstad Bears,12,5,13,8,38
6,Byron Bay Headlands,5,5,8,13,31
7,Chandler Bings,7,1,3,2,13
8,Dayville Daytrippers,16,17,20,27,80
9,Dahlberg Dall Sheep,17,4,12,15,48
10,Grandberg Fir Peaks,5,0,0,5,10
11,Florence Nightingales,7,5,6,6,24
12,Gruberton Groupers,3,0,16,10,29
13,Hughville Wagoneers,7,6,5,6,24
14,Jacksonville Jackrabbits,0,0,0,0,0
15,Jorlette Coordinators,7,4,7,12,30
16,Knowlton Knolls,0,8,0,0,8
17,Lawless Mappers,4,2,2,0,8
18,Madsburg Avocados,0,5,1,4,10
19,Marbraska Whitings,4,0,0,4,8
20,Megtown Senders,8,11,7,2,28
21,Mirandaville Mallards,2,0,6,1,9
22,Motown Mosquedas,3,2,2,0,7
23,Natesville Narwhals,0,0,1,3,4
24,Pearsonville Felines,3,0,0,0,3
25,Reynoldstown Wrappers,8,10,6,13,37
26,Rylanta Falcons,2,4,10,2,18
27,Rosieville Riveters,0,0,0,0,0
28,Sudsville Swimmers,0,5,7,6,18
29,Timtown Trekkers,0,0,0,0,0
30,Victorville Vicars,0,7,0,0,7
31,Wellsville Kakuros,1,1,5,0,7
32,Worthenton Originals,0,0,0,0,0
