name,runs1,runs2,runs3,runs4,total_runs,outs_1,singles_1,doubles_1,triples_1,homeruns_1,total_at_bats1,outs_2,singles_2,doubles_2,triples_2,homeruns_2,total_at_bats2,outs_3,singles_3,doubles_3,triples_3,homeruns_3,total_at_bats3,outs_4,singles_4,doubles_4,triples_4,homeruns_4,total_at_bats4,total_at_bats,total_homeruns,total_outs
Andy Zhen Forests,0,3,3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Bennionville Bobcats,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bentown Tippers,17,17,21,43,98,9.0,5.0,8.0,4.0,4.0,30.0,8.0,6.0,3.0,4.0,6.0,27.0,5.0,4.0,7.0,9.0,4.0,29.0,9.0,15.0,13.0,13.0,7.0,57.0,143.0,21.0,31.0
Billings Enforcers,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billville Jovyans,16,16,26,35,93,2.0,4.0,3.0,4.0,5.0,18.0,8.0,6.0,5.0,3.0,5.0,27.0,10.0,12.0,7.0,8.0,3.0,40.0,5.0,8.0,9.0,9.0,9.0,40.0,125.0,22.0,25.0
Bjornstad Bears,12,5,13,8,38,1.0,1.0,5.0,5.0,3.0,15.0,2.0,1.0,2.0,3.0,0.0,8.0,5.0,3.0,4.0,3.0,4.0,19.0,3.0,1.0,3.0,2.0,3.0,12.0,54.0,10.0,11.0
Byron Bay Headlands,5,5,8,13,31,0.0,2.0,3.0,2.0,0.0,7.0,4.0,1.0,1.0,3.0,2.0,11.0,6.0,2.0,4.0,3.0,2.0,17.0,4.0,5.0,4.0,2.0,4.0,19.0,54.0,8.0,14.0
Chandler Bings,7,1,3,2,13,2.0,0.0,2.0,3.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,18.0,3.0,3.0
Dayville Daytrippers,16,17,20,27,80,5.0,6.0,4.0,3.0,6.0,24.0,3.0,0.0,5.0,2.0,10.0,20.0,8.0,5.0,4.0,5.0,8.0,30.0,8.0,9.0,10.0,6.0,6.0,39.0,113.0,30.0,24.0
Dahlberg Dall Sheep,17,4,12,15,48,3.0,7.0,2.0,4.0,5.0,21.0,2.0,1.0,2.0,1.0,1.0,7.0,5.0,3.0,4.0,6.0,1.0,19.0,4.0,2.0,5.0,4.0,4.0,19.0,66.0,11.0,14.0
